feature,iqr_outliers,iqr_outlier_pct,zscore_outliers,zscore_outlier_pct
trace_mean,1,0.0625,2,0.125
trace_median,4,0.25,4,0.25
trace_variance,45,2.8125,26,1.625
trace_std,3,0.1875,3,0.1875
trace_min,23,1.4375,10,0.625
trace_max,0,0.0,3,0.1875
trace_skewness,0,0.0,0,0.0
trace_kurtosis,0,0.0,0,0.0
trace_energy,41,2.5625,27,1.6875
trace_peak_to_peak,0,0.0,1,0.0625
trace_q25,4,0.25,2,0.125
trace_q75,0,0.0,1,0.0625
cipher_mean,17,1.0625,0,0.0
cipher_variance,13,0.8125,11,0.6875
cipher_std,16,1.0,9,0.5625
cipher_entropy,0,0.0,0,0.0
cipher_unique_ratio,0,0.0,0,0.0
cipher_max_symbol_prob,446,27.875,6,0.375
cipher_zero_ratio,169,10.5625,70,4.375
cipher_adjacent_equal_ratio,151,9.4375,52,3.25
cipher_autocorr1,14,0.8750000000000001,0,0.0
