sample_id,label,system_profile,plaintext_byte0,trace_mean,trace_median,trace_variance,trace_std,trace_min,trace_max,trace_skewness,trace_kurtosis,trace_energy,trace_peak_to_peak,trace_q25,trace_q75,cipher_mean,cipher_variance,cipher_std,cipher_entropy,cipher_unique_ratio,cipher_max_symbol_prob,cipher_zero_ratio,cipher_adjacent_equal_ratio,cipher_autocorr1
0,1,Weak-ECB/Leaky,119,0.22317147,0.041590847,1.8393728,1.3562348,-2.5219812,6.5341506,1.2353868,2.8912182,1.8891785,9.056131,-0.612975,0.78389496,105.5,5025.625,70.89164266681934,3.8749999999999996,0.05859375,0.125,0.0,0.0,-0.10631229085864924
1,1,Weak-ECB/Leaky,93,0.17450473,0.16191678,1.1963236,1.0937659,-3.1452785,3.5799642,-0.038454738,0.64098525,1.2267755,6.7252426,-0.49997592,0.8182807,166.6875,5563.83984375,74.59115124295911,4.0,0.0625,0.0625,0.0,0.0,-0.14874654039467353
2,0,CBC/Low-Leakage,60,-0.07473352,-0.081264466,1.0219727,1.0109266,-3.0545716,2.351561,-0.04482019,-0.2598536,1.0275577,5.4061327,-0.7542202,0.5965282,134.53125,6694.3740234375,81.81915437987305,4.812499999999999,0.11328125,0.0625,0.0,0.0,-0.07944587904237897
3,0,CBC/Low-Leakage,127,0.029086456,-0.05382234,1.0372922,1.0184754,-2.573854,3.1488183,0.15928452,-0.030597687,1.0381383,5.7226725,-0.6720286,0.7433608,114.875,4232.609375,65.0585073222557,4.687499999999999,0.10546875,0.0625,0.0,0.0,-0.09648896038943623
4,0,CBC/Low-Leakage,18,0.100252844,0.14067852,0.9536377,0.9765438,-2.2999036,2.6184304,-0.0023305342,-0.47170448,0.9636883,4.918334,-0.6116963,0.8193496,127.40625,5775.1162109375,75.99418537583978,4.812499999999998,0.11328125,0.0625,0.0,0.0,-0.0157975489950231
5,1,Weak-ECB/Leaky,249,0.42759925,0.2505048,2.6190708,1.6183543,-4.4161253,6.5099335,1.2021966,3.2960477,2.801912,10.926059,-0.48159015,0.96514165,106.25,4257.0625,65.24616846988029,3.75,0.0546875,0.125,0.0,0.0,-0.30305806525357365
6,1,Weak-ECB/Leaky,107,0.28141692,0.2874167,1.5777515,1.2560858,-2.8890402,4.174735,0.44719133,0.6647923,1.656947,7.063775,-0.42074186,0.92881453,149.9375,6885.93359375,82.98152561715168,3.8749999999999996,0.05859375,0.125,0.0625,0.0,-0.17511111619569705
7,1,Weak-ECB/Leaky,127,0.2875945,0.013845986,1.9392798,1.3925803,-2.614847,6.807153,1.3364078,3.4307222,2.0219903,9.422,-0.65855557,0.9508177,158.8125,7074.90234375,84.11243869814976,3.75,0.0546875,0.125,0.0,0.0,0.3733285066900052
8,1,Weak-ECB/Leaky,84,0.39008892,0.18322617,2.027254,1.4238167,-2.9288635,6.2099814,1.0532566,2.1213202,2.1794238,9.138845,-0.47286317,1.0911223,130.875,4396.609375,66.30693308395435,4.0,0.0625,0.0625,0.0,0.0,-0.08343944113748093
9,1,Weak-ECB/Leaky,59,0.44110668,0.042640492,3.3416476,1.8280174,-2.8632078,8.783983,2.1605837,5.857626,3.536223,11.647191,-0.52099013,0.9044879,84.9375,4193.68359375,64.75865651594387,4.0,0.0625,0.0625,0.0625,0.0,0.15120537202841672
10,0,CBC/Low-Leakage,56,0.0814358,0.049468704,1.1191268,1.0578879,-3.176403,2.5481167,-0.03253511,-0.18396974,1.1257588,5.7245197,-0.6523973,0.80209774,131.96875,4873.0927734375,69.80754094965314,4.812499999999998,0.11328125,0.0625,0.0,0.0,-0.05388619746315244
11,1,Weak-ECB/Leaky,238,0.3802662,0.09299192,2.3491511,1.5326941,-2.5795965,7.596594,1.7817847,4.612907,2.4937534,10.17619,-0.46991456,0.93504184,108.9375,6501.55859375,80.63224289172415,3.8750000000000004,0.05859375,0.125,0.0,0.0,0.07417449600983089
12,1,Weak-ECB/Leaky,224,0.20236807,0.07336868,1.9229393,1.3867009,-3.0482752,5.6447477,1.0728712,2.537981,1.9638921,8.693023,-0.6274055,0.80612034,152.6875,4532.58984375,67.32451146313652,4.0,0.0625,0.0625,0.0625,0.0,-0.12344407449717962
13,1,Weak-ECB/Leaky,238,0.29762262,-0.0009229196,2.4905732,1.578155,-2.9460304,8.16604,1.6530452,4.44804,2.5791526,11.112071,-0.6041616,0.87615013,108.9375,6501.55859375,80.63224289172415,3.8750000000000004,0.05859375,0.125,0.0,0.0,0.07417449600983089
14,1,Weak-ECB/Leaky,81,0.37621307,0.20370261,2.5399609,1.5937254,-2.719074,8.461872,1.6969639,4.765201,2.681497,11.180946,-0.6169525,0.98767155,129.0,5570.5,74.63578230312856,3.8749999999999996,0.05859375,0.125,0.0625,0.0,-0.46696895595333027
15,1,Weak-ECB/Leaky,20,0.5915153,0.22414166,4.173975,2.0430307,-2.5087197,10.446609,2.5200086,7.417367,4.5238647,12.955328,-0.46595803,0.9196524,146.375,6481.234375,80.50611389826241,3.8750000000000004,0.05859375,0.125,0.0,0.0,-0.08687867041418042
16,1,Weak-ECB/Leaky,232,0.3197412,0.19655474,1.8564663,1.362522,-2.4288359,6.347574,1.2468117,3.1677022,1.9587008,8.77641,-0.5161417,0.95529556,161.1875,6436.52734375,80.22797108085184,3.8749999999999996,0.05859375,0.125,0.0,0.0,0.3658742079410759
17,0,CBC/Low-Leakage,49,0.03332778,0.026532724,1.1250103,1.060665,-3.330063,2.475244,-0.2860692,-0.060788155,1.1261209,5.8053074,-0.6039659,0.805778,142.25,3475.0625,58.94966072845543,4.874999999999999,0.1171875,0.0625,0.0,0.03225806451612903,-0.004923584344351834
18,1,Weak-ECB/Leaky,243,0.17706355,0.08126237,1.473317,1.2138027,-2.4832957,4.429773,0.3630357,0.077020645,1.5046685,6.913069,-0.67766213,0.98327065,136.6875,8201.71484375,90.56331952700276,4.0,0.0625,0.0625,0.0,0.0,-0.4051663272254204
19,0,CBC/Low-Leakage,76,-0.119278714,-0.16706532,1.088415,1.0432713,-3.2313716,3.641654,0.2528797,0.48187828,1.1026424,6.873026,-0.81166553,0.54147124,105.21875,5895.7333984375,76.78367924525043,4.874999999999998,0.1171875,0.0625,0.0,0.0,0.1712396607965091
20,1,Weak-ECB/Leaky,188,0.17742017,0.04948753,1.3853106,1.1769922,-2.6656432,4.997095,0.67872953,1.2756219,1.4167887,7.6627383,-0.6152325,0.84932244,155.875,4714.234375,68.6602823690669,3.8749999999999996,0.05859375,0.125,0.0,0.0,0.050142371007983265
21,1,Weak-ECB/Leaky,230,0.5214108,0.093448445,5.0524464,2.2477648,-2.7231543,11.196417,2.5823572,7.9403,5.324316,13.919571,-0.58735883,0.8314892,123.125,4692.734375,68.50353549270285,4.0,0.0625,0.0625,0.0,0.0,-0.2716770760815022
22,1,Weak-ECB/Leaky,130,0.4247989,0.13811919,3.5561972,1.8857882,-2.627267,8.87566,2.0802908,5.757719,3.7366514,11.502927,-0.6621417,0.92202485,125.125,5192.859375,72.06149717428858,3.75,0.0546875,0.125,0.0,0.0,-0.1347172395808123
23,1,Weak-ECB/Leaky,31,0.16881092,0.06687474,1.3193784,1.148642,-2.520291,3.740517,0.52428705,0.48399162,1.3478755,6.260808,-0.5774686,0.84753156,101.8125,3623.77734375,60.197818430155756,3.8750000000000004,0.05859375,0.125,0.0625,0.06451612903225806,-0.03185250861074356
24,1,Weak-ECB/Leaky,172,0.41028655,0.24439767,2.419899,1.5556024,-2.5042248,7.651326,1.8695581,5.304538,2.5882342,10.155551,-0.57487106,0.9366757,124.0,6005.375,77.4943546330957,3.8750000000000004,0.05859375,0.125,0.0,0.06451612903225806,-0.46798042076314955
25,0,CBC/Low-Leakage,0,-0.028689433,-0.0801225,1.0575806,1.0283874,-2.921146,2.5610647,0.030846333,-0.09700465,1.0584036,5.4822106,-0.7520253,0.6449055,133.21875,7232.9833984375,85.04694820178734,4.937499999999999,0.12109375,0.0625,0.03125,0.0,-0.0015739237201109898
26,1,Weak-ECB/Leaky,182,0.5108805,0.20093936,2.8433943,1.6862367,-3.2453296,8.916782,1.711289,4.818482,3.104393,12.162112,-0.53501934,1.1213467,130.3125,7993.46484375,89.40617900206898,3.8749999999999996,0.05859375,0.125,0.0,0.0,-0.168470679668635
